genotype	treatment	rack	w1_NO_TAR	weight1	weight2	growth_rate_(%)
58	control	C1	166	93.5	118.58	26.82352941
64	control	C1	109	36.5	69.78	91.17808219
60	control	C1	201.25	128.75	187.59	45.70097087
64Y	control	C1	249.8	177.3	230.86	30.20868584
19	control	C1	190.1	117.6	174.48	48.36734694
P1R2	control	C1	136.7	64.2	101.38	57.91277259
92	control	C1	109.4	36.9	67.84	83.84823848
90	control	C1	126.6	54.1	89.84	66.06284658
62	control	C1	269.8	197.3	214.49	8.712620375
62	control	C2	189.44	116.94	132.49	13.29741748
58	control	C2	209.8	137.3	151.35	N/A
P1R2	control	C2	183.34	110.84	171.98	55.16059184
19	control	C2	187.04	114.54	148.82	29.92840929
64	control	C2	157.51	85.01	111.49	31.14927656
90	control	C2	138.6	66.1	77.63	N/A
60	control	C2	174.6	102.1	122.43	19.91185113
64Y	control	C2	186.9	114.4	146.08	27.69230769
92	control	C2	108.44	35.94	48.73	35.58708959
90	control	C3	142.36	69.86	104.49	49.57056971
64	control	C3	138.6	66.1	89.78	35.82450832
92	control	C3	141.6	69.1	110.67	60.15918958
P1R2	control	C3	176.43	103.93	159.36	53.33397479
60	control	C3	129.46	56.96	82.72	45.2247191
62	control	C3	220.36	147.86	164.62	11.33504667
19	control	C3	170.72	98.22	132.08	34.47363063
58	control	C3	154.29	81.79	N/A	N/A
64Y	control	C3	283.24	210.74	269.73	27.99183828
58	shade	S1	162.86	90.36	108.04	19.56617973
60	shade	S1	172.45	99.95	130.57	30.63531766
92	shade	S1	139.86	67.36	87.31	29.61698337
62	shade	S1	271.22	198.72	226.25	13.85366345
90	shade	S1	156.64	84.14	105.06	24.86332303
64	shade	S1	123.9	51.4	76.32	48.48249027
64Y	shade	S1	159.66	87.16	98.59	13.11381368
19	shade	S1	211.98	139.48	171.68	23.08574706
P1R2	shade	S1	156.34	83.84	95.42	13.8120229
19	shade	S2	168.42	95.92	133.34	39.0116764
62	shade	S2	160.28	87.78	107.92	22.94372294
64Y	shade	S2	161.84	89.34	105.38	17.95388404
P1R2	shade	S2	137.16	64.66	85.03	31.50324776
60	shade	S2	206.83	134.33	143.02	6.469143155
92	shade	S2	131.77	59.27	86.63	46.1616332
64	shade	S2	117.32	44.82	53.46	19.27710843
58	shade	S2	159.24	86.74	97.79	12.73922066
90	shade	S2	200.8	128.3	146.35	14.06858924
64Y	shade	S3	190.64	118.14	N/A	N/A
64	shade	S3	116.18	43.68	68.12	55.95238095
19	shade	S3	265.68	193.18	253.64	31.29723574
58	shade	S3	139.45	66.95	78.46	17.19193428
92	shade	S3	132.68	60.18	85.73	42.45596544
60	shade	S3	164.4	91.9	126.89	38.07399347
90	shade	S3	179.7	107.2	115.68	7.910447761
62	shade	S3	203.94	131.44	155.45	18.26688984
P1R2	shade	S3	164.42	91.92	109.18	18.77719756
