FvFm	1:ETR	Treatment	Rack	sampling_day
0.266	2418.6	control	C1	0
0.267	2433.4	control	C1	0
0.543	4955.5	control	C1	0
0.581	5301.3	control	C1	0
0.734	6691.2	control	C1	0
0.552	5036.5	control	C1	0
0.501	4570.3	control	C1	0
0.318	2899.1	control	C1	0
0.405	3689	control	C1	0
0.056	510.1	control	C1	0
0.509	4639	control	C1	0
0.291	2652.5	shade	S1	0
0.245	2223.5	shade	S1	0
0.443	4030.1	shade	S1	0
0.547	4968.6	shade	S1	0
0.446	4067.3	shade	S1	0
0.49	4456.4	shade	S1	0
0.335	3049.5	shade	S1	0
0.521	4741.8	shade	S2	0
0.426	3869.5	shade	S2	0
0.266	2415.4	shade	S2	0
0.398	3621	shade	S2	0
0.514	4675.1	shade	S2	0
0.337	3068.3	shade	S2	0
0.479	4351.5	shade	S2	0
0.319	2899.2	shade	S2	0
0.354	3217.4	shade	S2	0
0.361	3281.7	control	C2	0
0.235	2137.2	control	C2	0
0.312	2838.3	control	C2	0
0.442	4009.1	control	C2	0
0.596	5191.6	control	C2	0
0.588	5342.2	control	C2	0
0.433	3485.9	control	C2	0
0.696	5136.4	control	C2	0
0.504	3594.1	control	C2	0
0.464	3110.3	shade	S3	0
0.47	3943.3	shade	S3	0
0.557	4957.7	shade	S3	0
0.393	3356.3	shade	S3	0
0.402	2057.1	shade	S3	0
0.431	2886.5	shade	S3	0
0.676	4883.7	shade	S3	0
0.595	5177.2	shade	S3	0
0.654	5949	shade	S3	0
0.587	5338.8	control	C3	0
0.407	3702.9	control	C3	0
0.319	2900.5	control	C3	0
0.482	4242.1	control	C3	0
0.366	3180.6	control	C3	0
0.307	2712.3	control	C3	0
0.626	5222.9	control	C3	0
0.437	3718.5	control	C3	0
0.43	3564	control	C3	0
0.6	5454.3	control	C3	0
0.205	1863.8	control	C1	1
0.359	3253.4	control	C1	1
0.284	2579.8	control	C1	1
0.375	3325.6	control	C1	1
0.353	3206.9	control	C1	1
0.318	2889.6	control	C1	1
0.316	2278.9	control	C1	1
0.467	2643.4	control	C1	1
0.481	3240.6	control	C1	1
0.431	1448.5	control	C3	1
0.214	702.8	control	C3	1
0.163	856.4	control	C3	1
0.375	3401.8	control	C3	1
0.199	1456.5	control	C3	1
0.352	1547.7	control	C3	1
0.287	2424.8	control	C3	1
0.397	3545.2	control	C3	1
0.558	5062.2	control	C3	1
0.372	777	control	C2	1
0.255	629.9	control	C2	1
0.342	1180.3	control	C2	1
0.572	3418.6	control	C2	1
0.538	962.6	control	C2	1
0.235	607.4	control	C2	1
0.561	1650	control	C2	1
0.562	2391.8	control	C2	1
0.416	2042	control	C2	1
0.388	2707.6	shade	S1	1
0.504	3042.9	shade	S1	1
0.517	2541.4	shade	S1	1
0.666	3355.8	shade	S1	1
0.642	4406.5	shade	S1	1
0.65	5891.6	shade	S1	1
0.676	6117.6	shade	S1	1
0.526	3484.4	shade	S1	1
0.556	3740.1	shade	S1	1
0.588	4872.5	shade	S2	1
0.629	5405.1	shade	S2	1
0.54	3893.5	shade	S2	1
0.64	5801	shade	S2	1
0.592	3416.3	shade	S2	1
0.504	3152.3	shade	S2	1
0.598	2804.7	shade	S2	1
0.608	2166.5	shade	S2	1
0.776	2407.9	shade	S2	1
0.545	2418.6	shade	S3	1
0.587	2084	shade	S3	1
0.517	2968.5	shade	S3	1
0.425	3851.1	shade	S3	1
0.564	4212.2	shade	S3	1
0.556	5039.6	shade	S3	1
0.531	2613.8	shade	S3	1
0.629	3252.3	shade	S3	1
0.573	5199.5	shade	S3	1
0.09	780.60	control	C1	2
0.35	3220.60	control	C1	2
0.20	1829.70	control	C1	2
0.55	3494.00	control	C1	2
0.17	1063.10	control	C1	2
0.23	1438.50	control	C1	2
0.31	1944.20	control	C1	2
0.22	1450.00	control	C1	2
0.59	3536.00	control	C1	2
0.22	1986.20	control	C3	2
0.33	3011.60	control	C3	2
0.16	1445.90	control	C3	2
0.45	4064.90	control	C3	2
0.13	1058.90	control	C3	2
0.22	1983.50	control	C3	2
0.36	3096.60	control	C3	2
0.48	4031.60	control	C3	2
0.42	3393.00	control	C3	2
0.18	1618.30	control	C2	2
0.16	1261.70	control	C2	2
0.20	1384.60	control	C2	2
0.46	3339.60	control	C2	2
0.34	2412.50	control	C2	2
0.13	890.60	control	C2	2
0.17	1135.00	control	C2	2
0.67	4842.80	control	C2	2
0.49	3446.40	control	C2	2
0.46	3536.40	shade	S1	2
0.33	3006.30	shade	S1	2
0.42	3803.10	shade	S1	2
0.58	5258.10	shade	S1	2
0.62	5601.10	shade	S1	2
0.57	5129.00	shade	S1	2
0.50	4572.50	shade	S1	2
0.62	5594.80	shade	S1	2
0.52	4719.20	shade	S1	2
0.25	614.90	shade	S2	2
0.53	1252.10	shade	S2	2
0.57	1068.70	shade	S2	2
0.55	1106.60	shade	S2	2
0.53	1276.50	shade	S2	2
0.60	1175.80	shade	S2	2
0.61	773.20	shade	S2	2
0.52	926.30	shade	S2	2
0.61	1334.50	shade	S2	2
0.58	4545.90	shade	S3	2
0.55	2463.20	shade	S3	2
0.58	3189.10	shade	S3	2
0.48	2818.30	shade	S3	2
0.36	1787.10	shade	S3	2
0.61	3451.20	shade	S3	2
0.58	2349.80	shade	S3	2
0.65	1650.30	shade	S3	2
0.60	1813.60	shade	S3	2
0.219	1997.2	control	C1	3
0.179	1627.7	control	C1	3
0.195	1775.1	control	C1	3
0.299	2720.2	control	C1	3
0.384	3494.9	control	C1	3
0.34	3096.5	control	C1	3
0.404	3673.4	control	C1	3
0.497	4527.6	control	C1	3
0.346	3146.2	control	C1	3
0.281	2404.3	control	C3	3
0.163	1483.6	control	C3	3
0.23	2092.3	control	C3	3
0.358	3255.3	control	C3	3
0.292	2651.8	control	C3	3
0.312	2830.6	control	C3	3
0.187	1699.6	control	C3	3
0.362	3287.7	control	C3	3
0.545	4950.6	control	C3	3
0.369	2384.2	control	C2	3
0.203	1420.1	control	C2	3
0.363	2415	control	C2	3
0.3	2660.4	control	C2	3
0.29	1334.8	control	C2	3
0.325	2835.7	control	C2	3
0.459	4172.5	control	C2	3
0.404	3674.4	control	C2	3
0.371	3372.3	control	C2	3
0.575	3049.2	shade	S1	3
0.392	1870.1	shade	S1	3
0.577	3062	shade	S1	3
0.538	4861.8	shade	S1	3
0.514	4646.4	shade	S1	3
0.645	5860.1	shade	S1	3
0.532	4824.5	shade	S1	3
0.606	5489.2	shade	S1	3
0.605	5488.6	shade	S1	3
0.595	5391.6	shade	S2	3
0.587	5311.7	shade	S2	3
0.587	5320.1	shade	S2	3
0.428	3878.1	shade	S2	3
0.503	4548.6	shade	S2	3
0.605	5484.7	shade	S2	3
0.289	2613.2	shade	S2	3
0.213	1930.5	shade	S2	3
0.366	3316.7	shade	S2	3
0.467	4228	shade	S3	3
0.565	5112.2	shade	S3	3
0.595	2978.3	shade	S3	3
0.513	4635	shade	S3	3
0.195	1760.9	shade	S3	3
0.347	3137.9	shade	S3	3
0.281	2539.7	shade	S3	3
0.652	5900.7	shade	S3	3
0.605	5469.5	shade	S3	3
0.271	1925	control	C1	4
0.448	2864.9	control	C1	4
0.278	1622.4	control	C1	4
0.49	2766.4	control	C1	4
0.327	1664.8	control	C1	4
0.454	2124.7	control	C1	4
0.513	2144	control	C1	4
0.417	1582.4	control	C1	4
0.513	1674.1	control	C1	4
0.426	3877.7	control	C3	4
0.201	1829.1	control	C3	4
0.338	3076.1	control	C3	4
0.361	3281.7	control	C3	4
0.515	4678.6	control	C3	4
0.41	3728.1	control	C3	4
0.281	2555.4	control	C3	4
0.491	4470	control	C3	4
0.323	2939.6	control	C3	4
0.419	3005.4	control	C2	4
0.413	2989.1	control	C2	4
0.205	1520.9	control	C2	4
0.34	1432.4	control	C2	4
0.409	1961.9	control	C2	4
0.529	2398.4	control	C2	4
0.391	2097.7	control	C2	4
0.521	3262.2	control	C2	4
0.407	3408.2	control	C2	4
0.602	5105.6	shade	S2	4
0.667	5442.6	shade	S2	4
0.683	5555.3	shade	S2	4
0.664	5223.4	shade	S2	4
0.576	4394.5	shade	S2	4
0.268	1997.9	shade	S2	4
0.677	5072.9	shade	S2	4
0.549	4392.1	shade	S2	4
0.638	5224.4	shade	S2	4
0.222	1074.7	control	C2	5
0.321	2913.9	control	C2	5
0.247	2244.6	control	C2	5
0.333	3019.2	control	C2	5
0.248	2254.2	control	C2	5
0.466	4235.6	control	C2	5
0.24	1705	control	C2	5
0.299	1851.9	control	C2	5
0.296	1799.2	control	C2	5
0.421	3825	shade	S1	5
0.223	1604.8	shade	S1	5
0.401	3392.3	shade	S1	5
0.571	5189.7	shade	S1	5
0.478	4344.4	shade	S1	5
0.538	4888.4	shade	S1	5
0.528	4799.3	shade	S1	5
0.201	1825.6	control	C1	5
0.244	2080	control	C1	5
0.081	711.3	control	C1	5
0.28	2542.2	control	C1	5
0.374	3395.9	control	C1	5
0.191	1734	control	C1	5
0.248	2252.4	control	C1	5
0.311	2823.4	control	C1	5
0.366	3322.4	control	C1	5
0.637	2156.1	shade	S2	5
0.599	2111	shade	S2	5
0.519	2398.7	shade	S2	5
0.462	2881.7	shade	S2	5
0.238	1698.8	shade	S2	5
0.572	4788.2	shade	S2	5
0.578	3914.3	shade	S2	5
0.369	2648.3	shade	S2	5
0.48	3203	shade	S2	5
0.172	1566.2	control	C3	6
0.242	2206	control	C3	6
0.271	2351.9	control	C3	6
0.23	2094.2	control	C3	6
0.13	1181.8	control	C3	6
0.237	2162.3	control	C3	6
0.286	2606.8	control	C3	6
